1;Rodzaj wtyczki:select:1;Europejska:1;0;0;0;0;1;0;0;1
1;Rodzaj wtyczki:select:1;Amerykańska:1;0;10;0;0;1;0;0;0
1;Kolor:color:0;Biały:0;0;0;0;0;1;0;0;1
1;Kolor:color:0;Czarny:0;0;0;0;0;1;0;0;0
2;Rodzaj wtyczki:select:1;Europejska:1;0;0;0;0;1;0;0;1
2;Rodzaj wtyczki:select:1;Amerykańska:1;0;10;0;0;1;0;0;0
2;Kolor:color:0;Biały:0;0;0;0;0;1;0;0;1
2;Kolor:color:0;Czarny:0;0;0;0;0;1;0;0;0
3;Rodzaj wtyczki:select:1;Europejska:1;0;0;0;0;1;0;0;1
3;Rodzaj wtyczki:select:1;Amerykańska:1;0;10;0;0;1;0;0;0
3;Kolor:color:0;Biały:0;0;0;0;0;1;0;0;1
3;Kolor:color:0;Czarny:0;0;0;0;0;1;0;0;0
4;Rodzaj wtyczki:select:1;Europejska:1;0;0;0;0;1;0;0;1
4;Rodzaj wtyczki:select:1;Amerykańska:1;0;10;0;0;1;0;0;0
4;Kolor:color:0;Biały:0;0;0;0;0;1;0;0;1
4;Kolor:color:0;Czarny:0;0;0;0;0;1;0;0;0
5;Rodzaj wtyczki:select:1;Europejska:1;0;0;0;0;1;0;0;1
5;Rodzaj wtyczki:select:1;Amerykańska:1;0;10;0;0;1;0;0;0
5;Kolor:color:0;Biały:0;0;0;0;0;1;0;0;1
5;Kolor:color:0;Czarny:0;0;0;0;0;1;0;0;0
6;Rodzaj wtyczki:select:1;Europejska:1;0;0;0;0;1;0;0;1
6;Rodzaj wtyczki:select:1;Amerykańska:1;0;10;0;0;1;0;0;0
6;Kolor:color:0;Biały:0;0;0;0;0;1;0;0;1
6;Kolor:color:0;Czarny:0;0;0;0;0;1;0;0;0
7;Rodzaj wtyczki:select:1;Europejska:1;0;0;0;0;1;0;0;1
7;Rodzaj wtyczki:select:1;Amerykańska:1;0;10;0;0;1;0;0;0
7;Kolor:color:0;Biały:0;0;0;0;0;1;0;0;1
7;Kolor:color:0;Czarny:0;0;0;0;0;1;0;0;0
8;Rodzaj wtyczki:select:1;Europejska:1;0;0;0;0;1;0;0;1
8;Rodzaj wtyczki:select:1;Amerykańska:1;0;10;0;0;1;0;0;0
8;Kolor:color:0;Biały:0;0;0;0;0;1;0;0;1
8;Kolor:color:0;Czarny:0;0;0;0;0;1;0;0;0
9;Rodzaj wtyczki:select:1;Europejska:1;0;0;0;0;1;0;0;1
9;Rodzaj wtyczki:select:1;Amerykańska:1;0;10;0;0;1;0;0;0
9;Kolor:color:0;Biały:0;0;0;0;0;1;0;0;1
9;Kolor:color:0;Czarny:0;0;0;0;0;1;0;0;0
10;Rodzaj wtyczki:select:1;Europejska:1;0;0;0;0;1;0;0;1
10;Rodzaj wtyczki:select:1;Amerykańska:1;0;10;0;0;1;0;0;0
10;Kolor:color:0;Biały:0;0;0;0;0;1;0;0;1
10;Kolor:color:0;Czarny:0;0;0;0;0;1;0;0;0
